checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,present_residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_risk
2,-0.7824946124917905,3,5,-0.35251113821054786,2,0,-1.727485659452309,0,2,-0.7472929962930807,1,0.9956440645677832,1,1,-0.7187454693270836,3,-0.4364357804719845,0,1,0
3,-0.21314882805028765,3,1,-0.5510668276240218,2,0,-0.8376025122779064,2,2,-0.7472929962930807,0,-0.48555584552840714,1,1,-0.7187454693270836,0,-0.4364357804719845,1,1,0
0,-0.9722765406389582,0,7,-0.9067164615618453,2,0,0.9421637820708985,3,2,1.053413018870969,2,-1.1335808061954904,2,1,-0.7187454693270836,3,-0.4364357804719845,0,1,0
1,2.064234309715724,3,7,1.8348262477179311,2,1,-1.727485659452309,2,1,-1.6476460038751053,2,-0.11525586800435958,1,1,1.045047093438766,1,-0.4364357804719845,1,1,1
0,2.064234309715724,2,6,2.103406217388593,0,4,-0.8376025122779064,3,2,1.053413018870969,3,-0.3929808511473953,1,0,-0.7187454693270836,0,-0.4364357804719845,1,1,0
1,0.3561969563912153,3,1,-0.32855546338572034,2,3,0.9421637820708985,3,0,-1.6476460038751053,2,0.9030690701867713,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
1,0.07152406417046382,3,1,0.3440461759267437,4,1,-0.8376025122779064,3,0,-0.7472929962930807,2,-1.0410058118144785,1,1,-0.7187454693270836,3,-0.4364357804719845,0,0,0
3,0.3561969563912153,3,7,-0.800758669067416,2,3,0.9421637820708985,3,2,-1.6476460038751053,2,0.06989412075766421,1,1,-0.7187454693270836,0,-0.4364357804719845,1,1,0
3,-0.9722765406389582,3,7,-0.5031554779743669,2,0,-1.727485659452309,3,2,1.053413018870969,0,0.25504410951968803,1,1,-0.7187454693270836,1,-0.4364357804719845,1,0,0
2,-0.4978217202710391,3,7,-0.3174989980819538,2,2,-0.8376025122779064,0,2,0.15306001128894414,2,-0.9484308174334667,1,1,-0.7187454693270836,3,-0.4364357804719845,0,1,1
1,-0.21314882805028765,3,7,0.2270319181285479,2,1,0.9421637820708985,0,1,-1.6476460038751053,2,-0.9484308174334667,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,0.9255427408327181,3,5,-0.281104799790389,2,1,0.9421637820708985,0,2,1.053413018870969,2,-1.1335808061954904,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,1
0,-0.7824946124917905,3,7,-0.039705307324819694,2,1,-0.8376025122779064,0,2,-1.6476460038751053,2,-0.7632808286714429,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,0.3561969563912153,3,2,-0.09406626173500515,4,3,-0.8376025122779064,0,2,1.053413018870969,2,-0.8558558230524548,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,-1.067167504712542,3,0,-0.7219813537780795,2,1,0.052280634896496016,0,2,-0.7472929962930807,1,-0.7632808286714429,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
3,0.3561969563912153,3,5,-0.9615381020263544,4,1,0.9421637820708985,3,2,-0.7472929962930807,1,-0.3929808511473953,2,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
0,0.3561969563912153,2,5,-0.3147348817560122,4,2,0.9421637820708985,3,2,-0.7472929962930807,0,-0.578130839909419,0,1,-0.7187454693270836,3,-0.4364357804719845,0,1,0
3,-0.9722765406389582,3,1,-0.6537998177381859,1,0,0.052280634896496016,3,2,-0.7472929962930807,3,0.4401940982817118,1,2,-0.7187454693270836,3,2.29128784747792,0,0,0
3,-1.3518403969332935,3,7,-0.41838924397882343,2,1,-0.8376025122779064,2,2,-0.7472929962930807,2,-0.578130839909419,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,-1.067167504712542,3,3,-0.8201074833490074,2,2,-1.727485659452309,0,2,1.053413018870969,2,-1.1335808061954904,1,2,-0.7187454693270836,1,-0.4364357804719845,1,1,0
3,-0.7824946124917905,3,1,-0.2884757766595667,4,3,0.9421637820708985,3,2,0.15306001128894414,1,1.3659440420918307,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
1,-0.7824946124917905,3,1,-0.8237929717835963,2,0,0.9421637820708985,0,2,-0.7472929962930807,2,-1.0410058118144785,1,1,-0.7187454693270836,3,-0.4364357804719845,0,1,1
1,-0.7824946124917905,3,5,0.26434748852875994,2,0,-0.8376025122779064,3,0,-0.7472929962930807,0,-0.578130839909419,1,1,-0.7187454693270836,3,2.29128784747792,0,1,0
3,0.3561969563912153,1,1,-0.45800824465065354,2,0,0.9421637820708985,0,2,1.053413018870969,1,0.16246911513867612,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
1,-0.7824946124917905,1,1,-1.0711813829553725,2,3,0.9421637820708985,3,2,0.15306001128894414,0,-0.022680873623347676,1,1,1.045047093438766,1,-0.4364357804719845,0,1,1
0,-0.21314882805028765,3,7,-0.9905613234487415,2,0,0.9421637820708985,2,1,-0.7472929962930807,2,-0.9484308174334667,1,1,-0.7187454693270836,3,-0.4364357804719845,0,1,0
0,-0.4978217202710391,4,1,-0.5704156419056132,2,2,-0.8376025122779064,0,2,-1.6476460038751053,2,-0.8558558230524548,1,2,1.045047093438766,2,-0.4364357804719845,0,1,1
3,0.9255427408327181,3,2,0.8268451608578823,4,1,-0.8376025122779064,0,2,1.053413018870969,0,-1.0410058118144785,2,2,-0.7187454693270836,3,-0.4364357804719845,0,1,0
3,-0.7824946124917905,1,7,-0.4985486174311308,2,3,-0.8376025122779064,3,2,-0.7472929962930807,3,-0.8558558230524548,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
0,-0.7824946124917905,3,7,-0.8864462751716067,2,0,0.9421637820708985,0,1,1.053413018870969,2,1.2733690477108188,1,1,1.045047093438766,1,-0.4364357804719845,1,1,0
1,-0.21314882805028765,3,7,-0.5225042922559583,2,0,0.9421637820708985,0,2,1.053413018870969,1,-0.9484308174334667,0,2,1.045047093438766,1,-0.4364357804719845,0,1,1
0,0.3561969563912153,3,2,-0.11802193655983263,4,3,0.9421637820708985,3,2,1.053413018870969,3,0.06989412075766421,0,0,-0.7187454693270836,1,-0.4364357804719845,1,1,0
0,1.494888525274221,3,8,-0.2912398929855083,2,2,0.9421637820708985,3,2,-1.6476460038751053,3,-0.20783086238537146,1,2,-0.7187454693270836,3,-0.4364357804719845,0,1,1
0,-0.7824946124917905,3,0,-1.0020784748068317,0,1,-0.8376025122779064,0,2,1.053413018870969,2,-1.1335808061954904,1,2,-0.7187454693270836,3,-0.4364357804719845,0,1,0
0,1.494888525274221,4,7,0.3629343041540115,2,0,0.9421637820708985,0,2,-1.6476460038751053,1,0.6253440870437356,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,1
0,0.3561969563912153,2,1,-0.484267349747099,4,0,0.9421637820708985,0,2,1.053413018870969,1,0.6253440870437356,1,2,1.045047093438766,1,-0.4364357804719845,1,1,0
1,-0.7824946124917905,1,1,-0.41240032527261655,2,0,0.9421637820708985,3,2,-0.7472929962930807,0,-0.48555584552840714,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
3,-1.3518403969332935,3,1,0.23117809261746036,2,0,-0.8376025122779064,3,1,0.15306001128894414,0,-0.8558558230524548,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,0.3561969563912153,1,0,0.6955496353756547,2,0,0.052280634896496016,3,2,-0.7472929962930807,2,2.708281460616503,1,1,-0.7187454693270836,0,-0.4364357804719845,1,1,0
1,-0.7824946124917905,3,5,-0.5335607575597249,2,2,0.9421637820708985,0,2,-1.6476460038751053,1,-1.2261558005765023,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,-1.1620584687861257,1,6,-0.853276879260307,2,3,0.052280634896496016,3,2,1.053413018870969,3,1.4585190364728426,0,0,1.045047093438766,0,2.29128784747792,1,1,0
3,-0.7824946124917905,2,8,-0.6731486320197773,3,3,0.9421637820708985,3,2,1.053413018870969,3,1.8288190139968903,1,0,1.045047093438766,1,2.29128784747792,0,1,1
2,-0.4978217202710391,3,0,-0.15165201852545585,2,1,-0.8376025122779064,3,2,1.053413018870969,0,-0.8558558230524548,1,2,-0.7187454693270836,1,-0.4364357804719845,1,1,0
2,1.494888525274221,3,7,0.41314908407528456,2,0,-0.8376025122779064,3,2,-0.7472929962930807,2,-1.1335808061954904,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
0,0.3561969563912153,1,6,2.2417847909560464,2,0,-0.8376025122779064,3,0,0.15306001128894414,1,0.3476191039006999,1,1,1.045047093438766,0,2.29128784747792,1,1,1
0,-0.7824946124917905,3,1,-0.9804262302536222,2,3,0.9421637820708985,3,2,1.053413018870969,1,0.5327690926627237,0,1,-0.7187454693270836,3,2.29128784747792,0,1,1
3,0.3561969563912153,1,7,-0.6911153881383979,3,0,0.9421637820708985,0,2,-1.6476460038751053,2,0.7179190814247475,1,1,1.045047093438766,3,-0.4364357804719845,0,1,0
1,0.3561969563912153,3,0,1.6362705583044572,2,0,-0.8376025122779064,2,2,-0.7472929962930807,1,-1.3187307949575142,2,1,-0.7187454693270836,3,-0.4364357804719845,0,1,0
0,0.9255427408327181,1,5,2.2417847909560464,2,1,-0.8376025122779064,3,2,-0.7472929962930807,0,1.2733690477108188,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
1,-0.7824946124917905,3,1,-0.8026014132847105,2,2,0.052280634896496016,0,2,-1.6476460038751053,2,0.16246911513867612,1,1,-0.7187454693270836,3,-0.4364357804719845,0,1,1
0,-0.023366899903120002,2,2,1.8615460388687004,4,1,0.052280634896496016,3,2,1.053413018870969,0,0.06989412075766421,0,2,1.045047093438766,0,2.29128784747792,1,1,0
3,-0.21314882805028765,3,5,-0.6832837252148967,2,2,0.9421637820708985,2,0,-1.6476460038751053,0,0.7179190814247475,1,1,-0.7187454693270836,3,2.29128784747792,0,1,1
0,-0.21314882805028765,3,0,-0.49532381505086553,3,0,0.9421637820708985,3,2,-0.7472929962930807,0,-0.022680873623347676,1,1,-0.7187454693270836,3,-0.4364357804719845,1,1,0
1,-1.3518403969332935,1,5,-0.5271111527991943,2,4,0.9421637820708985,3,2,1.053413018870969,3,0.06989412075766421,1,0,2.8088396562046154,0,-0.4364357804719845,1,1,0
3,-0.7824946124917905,3,4,-0.7477797728202014,2,3,0.9421637820708985,3,2,1.053413018870969,0,1.088219058948795,0,1,2.8088396562046154,1,2.29128784747792,1,1,0
0,0.3561969563912153,4,0,0.5642541098934272,2,0,-1.727485659452309,3,2,1.053413018870969,2,0.06989412075766421,1,1,2.8088396562046154,3,-0.4364357804719845,1,1,1
0,0.3561969563912153,3,2,2.2417847909560464,2,0,-1.727485659452309,0,2,1.053413018870969,1,-1.1335808061954904,1,2,1.045047093438766,0,-0.4364357804719845,0,1,1
1,2.064234309715724,2,7,0.6236826109011723,2,1,0.052280634896496016,3,2,-0.7472929962930807,0,-0.8558558230524548,0,1,1.045047093438766,1,2.29128784747792,1,1,1
2,2.064234309715724,4,0,1.5077391491481713,2,2,-0.8376025122779064,1,2,-1.6476460038751053,0,-0.20783086238537146,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
0,1.494888525274221,3,7,-0.15902299539463352,0,0,0.9421637820708985,0,0,1.053413018870969,3,1.3659440420918307,1,0,-0.7187454693270836,1,-0.4364357804719845,0,1,1
0,-1.2569494328597097,3,7,-0.20278817055537604,2,0,-0.8376025122779064,3,1,-0.7472929962930807,2,-0.022680873623347676,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
0,1.494888525274221,4,0,-0.4897955823989823,2,3,0.9421637820708985,3,2,1.053413018870969,3,2.3842689802829615,1,0,-0.7187454693270836,0,-0.4364357804719845,1,1,1
3,1.494888525274221,3,5,0.15332214943677103,2,0,0.9421637820708985,0,2,-0.7472929962930807,1,-0.670705834290431,1,1,-0.7187454693270836,0,-0.4364357804719845,1,1,1
1,-0.4978217202710391,1,5,-0.7293523306472571,2,0,0.9421637820708985,0,2,0.15306001128894414,0,-0.9484308174334667,1,2,1.045047093438766,1,-0.4364357804719845,0,1,0
1,-0.5927126843446229,3,1,0.44079024733470085,2,4,-1.727485659452309,3,2,1.053413018870969,3,-1.2261558005765023,1,0,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,0.9255427408327181,3,7,-0.22766521748885074,2,3,-1.727485659452309,3,1,0.15306001128894414,0,0.3476191039006999,1,1,-0.7187454693270836,1,2.29128784747792,0,1,0
0,-0.7824946124917905,2,7,-1.1200141047136747,2,0,0.9421637820708985,2,0,1.053413018870969,2,-1.4113057893385261,1,2,1.045047093438766,1,-0.4364357804719845,0,1,0
3,0.9255427408327181,3,7,-0.5294145830708124,4,3,0.9421637820708985,3,2,1.053413018870969,1,2.106543997139926,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
3,-0.4978217202710391,1,7,-0.7118462605829602,2,0,0.9421637820708985,3,2,1.053413018870969,3,-0.022680873623347676,1,0,1.045047093438766,1,-0.4364357804719845,1,1,0
1,0.9255427408327181,4,5,0.7218087404721002,2,0,-0.8376025122779064,1,1,-0.7472929962930807,2,-0.3004058567663834,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
1,0.3561969563912153,3,7,-0.26590215999771,2,2,0.9421637820708985,0,2,1.053413018870969,2,-0.022680873623347676,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,1
0,2.064234309715724,1,2,0.718583938091835,0,4,0.052280634896496016,3,2,1.053413018870969,1,-0.7632808286714429,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,-0.7824946124917905,0,9,0.19846938276048437,1,0,0.9421637820708985,0,2,0.15306001128894414,2,-0.022680873623347676,1,1,-0.7187454693270836,3,2.29128784747792,0,1,0
1,-1.3518403969332935,1,7,-0.850973448988689,4,3,0.9421637820708985,3,2,1.053413018870969,2,2.708281460616503,1,1,1.045047093438766,1,-0.4364357804719845,1,1,0
0,0.9255427408327181,3,5,0.3758335136750725,2,2,-0.8376025122779064,2,2,-1.6476460038751053,0,-1.2261558005765023,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,0.3561969563912153,3,1,-0.833467378924392,2,2,0.9421637820708985,0,2,1.053413018870969,0,-1.0410058118144785,1,2,-0.7187454693270836,1,-0.4364357804719845,0,1,1
0,0.6408698486119667,2,2,1.358476867547323,2,3,-1.727485659452309,3,2,-0.7472929962930807,1,-0.48555584552840714,1,1,1.045047093438766,0,-0.4364357804719845,1,1,0
2,0.9255427408327181,2,0,-0.5105264548435445,2,3,0.9421637820708985,3,2,1.053413018870969,2,2.708281460616503,1,1,-0.7187454693270836,0,-0.4364357804719845,1,1,1
0,1.494888525274221,1,2,1.2824636685839281,2,0,0.052280634896496016,3,2,1.053413018870969,1,-0.11525586800435958,1,1,1.045047093438766,1,-0.4364357804719845,1,1,0
3,-1.3518403969332935,3,5,-0.6786768646716606,3,0,0.9421637820708985,1,2,-0.7472929962930807,2,-0.20783086238537146,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,0.3561969563912153,0,1,-0.8399169836849225,2,4,-1.727485659452309,0,0,1.053413018870969,3,-0.578130839909419,1,2,1.045047093438766,2,-0.4364357804719845,0,1,1
3,0.3561969563912153,2,0,0.39011478135910427,2,0,-1.727485659452309,3,2,-0.7472929962930807,3,-0.3004058567663834,1,0,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,-1.541622325080461,3,5,-1.112643127844497,2,2,-1.727485659452309,0,2,0.15306001128894414,2,-1.1335808061954904,1,2,-0.7187454693270836,3,2.29128784747792,0,1,0
1,-0.7824946124917905,3,3,-1.0481470802391921,0,4,0.9421637820708985,0,2,0.15306001128894414,0,-1.2261558005765023,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
3,0.3561969563912153,3,7,-0.33730849841786886,2,1,0.9421637820708985,3,2,-0.7472929962930807,1,-0.670705834290431,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
1,-1.3518403969332935,3,5,-1.1923418152424807,2,3,-0.8376025122779064,0,2,-1.6476460038751053,0,1.2733690477108188,0,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
1,-0.023366899903120002,1,1,-0.35988211507972556,2,0,0.9421637820708985,2,1,-0.7472929962930807,0,-0.20783086238537146,0,2,1.045047093438766,1,-0.4364357804719845,0,0,1
1,-0.8773855765653743,1,1,0.42512692148769826,2,0,-1.727485659452309,3,2,-0.7472929962930807,2,0.4401940982817118,1,1,1.045047093438766,3,2.29128784747792,0,1,0
3,-0.7824946124917905,1,0,-0.8072082738279465,4,3,0.9421637820708985,3,2,1.053413018870969,3,2.013969002758914,1,2,-0.7187454693270836,3,-0.4364357804719845,0,1,0
0,0.3561969563912153,1,7,-0.8293212044354795,0,2,0.9421637820708985,3,2,1.053413018870969,3,0.25504410951968803,0,1,1.045047093438766,1,2.29128784747792,0,1,1
0,-0.21314882805028765,1,7,-0.815961308860095,2,0,0.9421637820708985,2,2,-0.7472929962930807,1,-0.20783086238537146,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
3,2.064234309715724,2,7,1.9449302147012728,4,3,0.052280634896496016,3,2,0.15306001128894414,1,-0.3004058567663834,0,1,1.045047093438766,1,2.29128784747792,0,1,0
0,-0.7824946124917905,3,5,0.0003743794013339846,2,2,0.052280634896496016,0,2,-1.6476460038751053,2,-0.11525586800435958,1,2,-0.7187454693270836,0,-0.4364357804719845,0,1,0
0,-0.7824946124917905,3,5,-0.11710056445118543,4,3,-1.727485659452309,0,2,-0.7472929962930807,0,-0.9484308174334667,0,1,-0.7187454693270836,1,-0.4364357804719845,1,1,1
3,0.3561969563912153,3,7,-0.6832837252148967,2,2,0.9421637820708985,0,2,0.15306001128894414,1,0.25504410951968803,2,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
0,1.494888525274221,2,0,2.2417847909560464,0,1,-1.727485659452309,3,2,0.15306001128894414,0,-0.3929808511473953,1,1,1.045047093438766,3,2.29128784747792,1,1,0
3,-0.9722765406389582,3,5,-0.3713992664378157,2,0,-0.8376025122779064,3,2,-0.7472929962930807,2,-0.9484308174334667,0,2,-0.7187454693270836,3,-0.4364357804719845,0,1,1
0,-0.21314882805028765,1,0,0.26434748852875994,2,4,0.052280634896496016,2,2,0.15306001128894414,1,0.4401940982817118,1,1,2.8088396562046154,2,2.29128784747792,1,1,0
2,-0.21314882805028765,3,1,-0.4861100939643935,2,3,0.052280634896496016,0,2,-0.7472929962930807,1,-1.1335808061954904,1,1,-0.7187454693270836,0,-0.4364357804719845,0,1,0
0,1.494888525274221,3,1,2.2417847909560464,2,3,0.9421637820708985,3,2,-0.7472929962930807,3,2.013969002758914,1,0,-0.7187454693270836,0,-0.4364357804719845,1,1,1
0,-0.8773855765653743,2,7,0.8084177186849381,2,1,-0.8376025122779064,3,2,1.053413018870969,0,1.4585190364728426,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,-1.3518403969332935,3,7,-1.1508800703533562,2,0,0.052280634896496016,0,2,-1.6476460038751053,2,-0.578130839909419,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
0,-0.7824946124917905,3,7,-0.6676203993678941,2,0,-1.727485659452309,0,2,-1.6476460038751053,1,-1.2261558005765023,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
0,2.064234309715724,3,7,0.4435543636606425,4,1,0.9421637820708985,3,2,-1.6476460038751053,1,0.5327690926627237,1,1,1.045047093438766,1,2.29128784747792,1,1,0
1,0.6408698486119667,4,0,1.0488958390418601,2,4,-0.8376025122779064,3,2,1.053413018870969,0,1.3659440420918307,2,1,1.045047093438766,1,-0.4364357804719845,1,1,1
1,0.3561969563912153,3,2,-0.04891902841129181,2,1,-0.8376025122779064,3,2,-1.6476460038751053,3,-0.11525586800435958,1,0,-0.7187454693270836,0,-0.4364357804719845,1,1,0
1,2.064234309715724,3,4,2.054573495630291,2,1,0.9421637820708985,3,2,-1.6476460038751053,3,1.3659440420918307,1,0,-0.7187454693270836,0,-0.4364357804719845,1,1,0
0,1.494888525274221,3,2,2.2417847909560464,2,2,-1.727485659452309,2,2,1.053413018870969,1,-0.670705834290431,1,2,-0.7187454693270836,0,-0.4364357804719845,1,1,1
2,-0.21314882805028765,3,7,-0.42207473241341226,2,0,0.9421637820708985,3,0,-0.7472929962930807,2,0.16246911513867612,2,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
3,-0.8773855765653743,3,0,-0.40272591813182085,3,3,-1.727485659452309,1,2,-0.7472929962930807,2,-0.670705834290431,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
1,1.494888525274221,1,5,-0.3078245909411581,2,0,0.052280634896496016,2,2,-0.7472929962930807,0,0.9956440645677832,1,1,1.045047093438766,1,-0.4364357804719845,1,1,0
3,-1.3518403969332935,3,5,0.7347079499931612,2,2,-1.727485659452309,0,2,1.053413018870969,0,-0.3004058567663834,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
3,-0.7824946124917905,1,5,-0.743633598331289,1,1,0.052280634896496016,0,2,1.053413018870969,1,0.16246911513867612,1,2,-0.7187454693270836,1,-0.4364357804719845,1,1,0
3,-1.3518403969332935,1,5,-0.8270177741638616,4,0,-1.727485659452309,2,2,-0.7472929962930807,0,-0.7632808286714429,1,1,1.045047093438766,1,-0.4364357804719845,0,1,0
3,0.3561969563912153,3,1,-0.8141185646428006,2,2,0.9421637820708985,2,2,-0.7472929962930807,2,-0.670705834290431,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,2.064234309715724,1,4,1.4252763454242459,2,0,-1.727485659452309,3,2,0.15306001128894414,3,-0.3929808511473953,0,0,-0.7187454693270836,1,-0.4364357804719845,1,1,0
0,-0.21314882805028765,1,1,-0.9030309731272564,2,3,0.052280634896496016,3,1,0.15306001128894414,2,-0.48555584552840714,0,1,1.045047093438766,1,-0.4364357804719845,0,1,1
3,1.494888525274221,3,4,2.2417847909560464,4,0,-0.8376025122779064,3,2,1.053413018870969,3,-0.022680873623347676,1,0,-0.7187454693270836,3,2.29128784747792,1,1,0
3,-1.3518403969332935,3,5,-0.01759237671728663,1,0,-1.727485659452309,3,2,-0.7472929962930807,1,-0.3004058567663834,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
3,-0.7824946124917905,3,7,-0.9813476023622694,4,0,0.9421637820708985,0,2,-0.7472929962930807,1,-1.3187307949575142,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
1,-0.7824946124917905,3,1,-0.9748979976017389,4,0,0.9421637820708985,2,2,-0.7472929962930807,1,-1.1335808061954904,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,1
3,-0.7824946124917905,1,7,-0.818264739131713,4,3,0.9421637820708985,0,2,-0.7472929962930807,2,0.25504410951968803,1,1,1.045047093438766,1,-0.4364357804719845,1,1,0
1,-0.7824946124917905,1,1,-0.41193963921829296,2,0,0.052280634896496016,3,2,-0.7472929962930807,2,0.3476191039006999,1,2,1.045047093438766,3,2.29128784747792,0,0,0
1,-0.4978217202710391,3,7,-0.9044130312902273,2,2,0.9421637820708985,2,2,-0.7472929962930807,2,-0.7632808286714429,1,1,-0.7187454693270836,1,-0.4364357804719845,0,0,0
1,-0.7824946124917905,3,7,-0.6155628752293266,1,3,0.052280634896496016,2,2,-1.6476460038751053,2,-0.022680873623347676,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
3,-0.4978217202710391,1,5,0.15055803311082938,2,0,0.9421637820708985,3,2,-0.7472929962930807,3,-0.670705834290431,1,0,-0.7187454693270836,1,-0.4364357804719845,1,1,0
2,-1.3518403969332935,3,5,-0.4147037555442346,2,0,-0.8376025122779064,3,2,-0.7472929962930807,2,0.5327690926627237,1,1,-0.7187454693270836,1,-0.4364357804719845,1,1,0
1,-1.3518403969332935,3,3,-1.2315001298599872,2,2,0.9421637820708985,0,2,-1.6476460038751053,2,-0.7632808286714429,1,1,-0.7187454693270836,1,-0.4364357804719845,0,1,0
